Quarter,State,Total_Crashes,Num_Injured,Num_Killed,Total_Vehicles_Involved,SPV,DAD,PWR,FTQ,Other_Factors
Q3 2022,Yobe,48.0,191.0,60.0,21.0,0.0,0.0,0.0,26.0,-5.0
Q3 2022,Zamfara,29.0,77.0,12.0,1.0,0.0,0.0,0.0,22.0,-21.0
Q4 2022,Abia,33.0,89.0,7.0,35.0,12.0,0.0,0.0,0.0,23.0
Q4 2022,Adamawa,34.0,117.0,17.0,34.0,22.0,0.0,0.0,0.0,12.0
Q4 2022,Akwa Ibom,23.0,75.0,15.0,23.0,16.0,0.0,0.0,0.0,7.0
Q4 2022,Anambra,40.0,121.0,14.0,48.0,21.0,0.0,0.0,0.0,27.0
Q4 2022,Bauchi,122.0,523.0,93.0,161.0,72.0,0.0,0.0,1.0,88.0
Q4 2022,Bayelsa,8.0,17.0,1.0,9.0,4.0,0.0,0.0,0.0,5.0
Q4 2022,Benue,73.0,225.0,24.0,77.0,52.0,1.0,0.0,0.0,
Q4 2022,Borno,39.0,207.0,66.0,47.0,5.0,0.0,0.0,0.0,42.0
Q4 2022,Cross River,39.0,81.0,,51.0,27.0,0.0,0.0,0.0,
Q4 2022,Delta,48.0,174.0,30.0,56.0,27.0,0.0,0.0,0.0,29.0
Q4 2022,Ebonyi,55.0,118.0,19.0,61.0,16.0,0.0,0.0,0.0,45.0
Q4 2022,Edo,63.0,142.0,23.0,98.0,10.0,1.0,0.0,0.0,87.0
Q4 2022,Ekiti,19.0,40.0,9.0,30.0,11.0,0.0,0.0,0.0,19.0
Q4 2022,Enugu,56.0,157.0,19.0,73.0,33.0,1.0,0.0,0.0,39.0
Q4 2022,FCT,482.0,791.0,127.0,864.0,120.0,0.0,0.0,158.0,586.0
Q4 2022,Gombe,115.0,363.0,47.0,136.0,33.0,0.0,0.0,0.0,103.0
Q4 2022,Imo,31.0,97.0,,26.0,6.0,0.0,0.0,0.0,20.0
Q4 2022,Jigawa,179.0,624.0,44.0,311.0,128.0,0.0,0.0,1.0,182.0
Q4 2022,Kaduna,205.0,810.0,142.0,203.0,133.0,0.0,0.0,10.0,60.0
Q4 2022,Kano,120.0,411.0,94.0,147.0,66.0,0.0,0.0,0.0,81.0
Q4 2022,Katsina,36.0,169.0,32.0,44.0,21.0,0.0,0.0,0.0,23.0
Q4 2022,Kebbi,44.0,186.0,43.0,45.0,,0.0,0.0,0.0,32.0
Q4 2022,Kogi,138.0,413.0,81.0,181.0,82.0,,0.0,0.0,99.0
Q4 2022,Kwara,91.0,252.0,54.0,142.0,49.0,0.0,0.0,0.0,93.0
Q4 2022,Lagos,167.0,268.0,42.0,155.0,92.0,0.0,0.0,0.0,63.0
Q4 2022,Nasarawa,234.0,580.0,57.0,288.0,105.0,0.0,0.0,0.0,183.0
Q4 2022,Niger,145.0,553.0,96.0,195.0,90.0,2.0,0.0,7.0,96.0
Q4 2022,Ogun,301.0,663.0,77.0,478.0,183.0,1.0,0.0,0.0,294.0
Q4 2022,Ondo,109.0,247.0,33.0,133.0,81.0,0.0,0.0,1.0,51.0
Q4 2022,Osun,101.0,319.0,39.0,126.0,64.0,0.0,2.0,0.0,60.0
Q4 2022,Oyo,165.0,423.0,84.0,209.0,115.0,0.0,0.0,2.0,92.0
Q4 2022,Plateau,84.0,254.0,29.0,84.0,27.0,0.0,0.0,0.0,57.0
Q4 2022,Rivers,26.0,43.0,16.0,29.0,6.0,0.0,0.0,0.0,23.0
Q4 2022,Sokoto,,148.0,26.0,50.0,19.0,2.0,0.0,0.0,29.0
Q4 2022,Taraba,68.0,192.0,8.0,83.0,4.0,0.0,0.0,0.0,79.0
Q4 2022,Yobe,57.0,237.0,35.0,68.0,25.0,0.0,0.0,0.0,
Q4 2022,Zamfara,30.0,103.0,23.0,35.0,13.0,0.0,0.0,0.0,22.0
Q1 2023,Abia,12.0,45.0,16.0,14.0,7.0,0.0,0.0,0.0,7.0
Q1 2023,Adamawa,53.0,152.0,20.0,56.0,35.0,0.0,0.0,0.0,21.0
Q1 2023,Akwa Ibom,9.0,16.0,3.0,11.0,4.0,0.0,0.0,0.0,7.0
Q1 2023,Anambra,15.0,76.0,,19.0,8.0,0.0,0.0,0.0,11.0
Q1 2023,Bauchi,,473.0,139.0,155.0,79.0,0.0,0.0,0.0,76.0
Q1 2023,Bayelsa,6.0,11.0,1.0,10.0,8.0,0.0,0.0,0.0,2.0
Q1 2023,Benue,37.0,84.0,4.0,37.0,,0.0,0.0,0.0,18.0
Q1 2023,Borno,26.0,76.0,9.0,26.0,6.0,0.0,0.0,,20.0
Q1 2023,Cross River,12.0,35.0,7.0,15.0,12.0,0.0,0.0,0.0,3.0
Q1 2023,Delta,22.0,87.0,34.0,34.0,15.0,0.0,0.0,0.0,19.0
Q1 2023,Ebonyi,49.0,131.0,14.0,53.0,28.0,1.0,0.0,0.0,24.0
Q1 2023,Edo,55.0,183.0,41.0,94.0,25.0,0.0,0.0,0.0,69.0
Q1 2023,Ekiti,22.0,48.0,2.0,50.0,39.0,1.0,0.0,0.0,10.0
Q1 2023,Enugu,37.0,99.0,21.0,48.0,28.0,0.0,0.0,0.0,20.0
Q1 2023,FCT,382.0,667.0,100.0,,300.0,0.0,2.0,6.0,308.0
Q1 2023,Gombe,61.0,240.0,26.0,87.0,47.0,0.0,0.0,0.0,40.0
Q1 2023,Imo,18.0,58.0,11.0,14.0,8.0,0.0,0.0,0.0,6.0
Q1 2023,Jigawa,129.0,400.0,26.0,226.0,185.0,0.0,0.0,0.0,41.0
Q1 2023,Kaduna,203.0,782.0,139.0,195.0,109.0,0.0,0.0,8.0,78.0
Q1 2023,Kano,66.0,309.0,69.0,78.0,53.0,0.0,,0.0,25.0
Q1 2023,Katsina,23.0,143.0,29.0,25.0,,0.0,0.0,0.0,7.0
Q1 2023,Kebbi,27.0,128.0,62.0,31.0,25.0,0.0,0.0,0.0,6.0
Q1 2023,Kogi,97.0,313.0,64.0,131.0,73.0,0.0,0.0,1.0,57.0
Q1 2023,Kwara,91.0,328.0,54.0,139.0,88.0,1.0,0.0,0.0,50.0
Q1 2023,Lagos,113.0,230.0,40.0,113.0,66.0,0.0,0.0,1.0,46.0
Q1 2023,Nasarawa,143.0,315.0,23.0,183.0,73.0,0.0,0.0,0.0,110.0
Q1 2023,Niger,123.0,407.0,94.0,161.0,103.0,0.0,1.0,3.0,54.0
Q1 2023,Ogun,269.0,707.0,113.0,457.0,320.0,1.0,0.0,6.0,130.0
Q1 2023,Ondo,99.0,239.0,43.0,112.0,70.0,,0.0,1.0,41.0
Q1 2023,Osun,69.0,255.0,13.0,83.0,53.0,0.0,0.0,0.0,30.0
Q1 2023,Oyo,106.0,,53.0,136.0,84.0,0.0,0.0,1.0,51.0
Q1 2023,Plateau,100.0,420.0,55.0,120.0,42.0,0.0,0.0,0.0,78.0
Q1 2023,Rivers,18.0,37.0,9.0,21.0,16.0,1.0,0.0,0.0,4.0
Q1 2023,Sokoto,18.0,69.0,40.0,23.0,14.0,0.0,0.0,0.0,9.0
,Taraba,55.0,201.0,24.0,56.0,9.0,0.0,0.0,0.0,47.0
Q1 2023,Yobe,38.0,215.0,26.0,57.0,36.0,0.0,0.0,0.0,21.0
Q1 2023,Zamfara,20.0,113.0,14.0,24.0,14.0,0.0,0.0,0.0,10.0
Q2 2023,Abia,12.0,22.0,3.0,11.0,2.0,0.0,0.0,0.0,9.0
Q2 2023,Adamawa,57.0,175.0,5.0,61.0,39.0,0.0,0.0,0.0,22.0
Q2 2023,Akwa Ibom,17.0,32.0,6.0,19.0,12.0,0.0,0.0,0.0,7.0
Q2 2023,Anambra,34.0,60.0,12.0,34.0,11.0,0.0,0.0,1.0,22.0
Q2 2023,Bauchi,100.0,399.0,,133.0,80.0,invalid,0.0,0.0,53.0
Q2 2023,Bayelsa,7.0,30.0,8.0,9.0,3.0,0.0,0.0,0.0,6.0
Q2 2023,Benue,57.0,invalid,29.0,57.0,47.0,0.0,0.0,0.0,10.0
Q2 2023,Borno,,164.0,13.0,55.0,20.0,0.0,0.0,0.0,35.0
Q2 2023,Cross River,27.0,85.0,22.0,32.0,,0.0,0.0,0.0,7.0
Q2 2023,Delta,28.0,84.0,17.0,40.0,14.0,1.0,0.0,0.0,25.0
Q2 2023,Ebonyi,48.0,97.0,43.0,,35.0,0.0,0.0,0.0,18.0
Q2 2023,Edo,71.0,222.0,50.0,97.0,35.0,0.0,0.0,0.0,62.0
Q2 2023,Ekiti,28.0,51.0,9.0,51.0,38.0,0.0,0.0,0.0,13.0
Q2 2023,Enugu,44.0,129.0,40.0,68.0,26.0,0.0,0.0,0.0,42.0
Q2 2023,FCT,320.0,653.0,65.0,502.0,285.0,1.0,2.0,0.0,214.0
,Gombe,60.0,220.0,30.0,70.0,40.0,0.0,0.0,0.0,30.0
Q2 2023,Imo,20.0,37.0,8.0,25.0,,0.0,0.0,0.0,9.0
Q2 2023,Jigawa,107.0,291.0,53.0,194.0,136.0,0.0,,0.0,58.0
Q2 2023,Kaduna,190.0,755.0,119.0,218.0,125.0,1.0,0.0,7.0,85.0
Q2 2023,Kano,87.0,272.0,46.0,115.0,54.0,0.0,0.0,1.0,60.0
Q2 2023,Katsina,37.0,131.0,34.0,47.0,31.0,0.0,0.0,0.0,16.0
Q2 2023,Kebbi,37.0,89.0,24.0,32.0,26.0,0.0,0.0,0.0,6.0
Q2 2023,Kogi,107.0,360.0,57.0,118.0,64.0,0.0,0.0,0.0,54.0
Q2 2023,Kwara,77.0,288.0,37.0,127.0,95.0,0.0,0.0,0.0,32.0
Q2 2023,Lagos,138.0,209.0,52.0,138.0,77.0,4.0,0.0,0.0,57.0
Q2 2023,Nasarawa,208.0,532.0,55.0,274.0,140.0,0.0,0.0,0.0,134.0
Q2 2023,,150.0,499.0,78.0,177.0,128.0,1.0,1.0,2.0,45.0
Q2 2023,Ogun,283.0,621.0,97.0,502.0,340.0,0.0,,2.0,160.0
Q2 2023,Ondo,113.0,278.0,39.0,129.0,83.0,0.0,1.0,1.0,44.0
Q2 2023,,89.0,230.0,54.0,95.0,56.0,0.0,0.0,0.0,39.0
Q2 2023,Oyo,144.0,370.0,94.0,155.0,87.0,0.0,1.0,0.0,
Q2 2023,Plateau,,194.0,33.0,71.0,,0.0,0.0,1.0,45.0
Q2 2023,Rivers,22.0,34.0,11.0,31.0,18.0,0.0,0.0,0.0,13.0
Q2 2023,Sokoto,17.0,58.0,8.0,,13.0,0.0,,0.0,17.0
Q2 2023,Taraba,47.0,,10.0,63.0,22.0,0.0,0.0,0.0,41.0
Q2 2023,Yobe,50.0,305.0,32.0,64.0,36.0,0.0,0.0,0.0,28.0
Q2 2023,Zamfara,19.0,146.0,32.0,23.0,14.0,0.0,0.0,0.0,9.0
Q3 2023,Abia,15.0,42.0,11.0,18.0,5.0,0.0,0.0,0.0,13.0
Q3 2023,Adamawa,32.0,89.0,6.0,33.0,21.0,0.0,0.0,0.0,12.0
Q3 2023,Akwa Ibom,8.0,14.0,3.0,10.0,9.0,0.0,0.0,0.0,1.0
Q3 2023,Anambra,34.0,90.0,19.0,42.0,14.0,0.0,0.0,0.0,28.0
Q3 2023,Bauchi,51.0,159.0,16.0,57.0,36.0,0.0,0.0,,21.0
Q3 2023,Bayelsa,5.0,2.0,0.0,7.0,,0.0,0.0,0.0,1.0
Q3 2023,Benue,55.0,176.0,13.0,57.0,44.0,0.0,0.0,0.0,13.0
Q3 2023,,28.0,93.0,17.0,26.0,8.0,0.0,0.0,0.0,18.0
Q3 2023,Cross River,,25.0,12.0,21.0,10.0,0.0,0.0,0.0,11.0
Q3 2023,Delta,,63.0,15.0,42.0,17.0,0.0,0.0,0.0,25.0
Q3 2023,Ebonyi,19.0,39.0,10.0,18.0,12.0,0.0,0.0,,6.0
Q3 2023,Edo,33.0,79.0,16.0,61.0,40.0,0.0,0.0,0.0,21.0
Q3 2023,Ekiti,29.0,53.0,23.0,50.0,28.0,1.0,0.0,0.0,21.0
Q3 2023,Enugu,32.0,96.0,31.0,36.0,18.0,0.0,0.0,0.0,18.0
Q3 2023,FCT,349.0,607.0,82.0,511.0,278.0,2.0,1.0,1.0,229.0
Q3 2023,Gombe,40.0,140.0,11.0,40.0,17.0,0.0,0.0,0.0,23.0
Q3 2023,Imo,20.0,107.0,10.0,20.0,9.0,0.0,0.0,0.0,11.0
Q3 2023,Jigawa,64.0,217.0,21.0,120.0,89.0,0.0,1.0,0.0,30.0
Q3 2023,Kaduna,117.0,481.0,82.0,115.0,71.0,0.0,0.0,4.0,40.0
Q3 2023,Kano,43.0,132.0,24.0,52.0,25.0,0.0,0.0,0.0,27.0
Q3 2023,Katsina,18.0,78.0,13.0,33.0,17.0,0.0,1.0,0.0,15.0
Q3 2023,Kebbi,10.0,14.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0
Q3 2023,Kogi,96.0,355.0,52.0,112.0,21.0,0.0,0.0,0.0,91.0
Q3 2023,Kwara,73.0,222.0,51.0,110.0,30.0,0.0,0.0,0.0,80.0
Q3 2023,Lagos,106.0,164.0,34.0,110.0,56.0,1.0,0.0,0.0,53.0
Q3 2023,Nasarawa,162.0,411.0,37.0,220.0,113.0,1.0,1.0,0.0,105.0
Q3 2023,Niger,101.0,,56.0,138.0,98.0,1.0,0.0,2.0,37.0
Q3 2023,Ogun,212.0,584.0,82.0,396.0,262.0,0.0,0.0,0.0,134.0
Q3 2023,Ondo,68.0,161.0,44.0,102.0,68.0,0.0,0.0,4.0,30.0
Q3 2023,Osun,67.0,239.0,41.0,95.0,59.0,0.0,0.0,0.0,36.0
Q3 2023,Oyo,118.0,332.0,45.0,160.0,106.0,0.0,0.0,0.0,54.0
Q3 2023,Plateau,44.0,,4.0,50.0,32.0,0.0,0.0,0.0,18.0
Q3 2023,Rivers,13.0,49.0,3.0,21.0,11.0,0.0,0.0,0.0,10.0
Q3 2023,Sokoto,15.0,36.0,11.0,24.0,14.0,0.0,0.0,0.0,10.0
Q3 2023,Taraba,24.0,79.0,0.0,28.0,8.0,0.0,0.0,0.0,20.0
Q3 2023,Yobe,28.0,93.0,12.0,33.0,11.0,0.0,0.0,0.0,22.0
Q3 2023,Zamfara,10.0,38.0,,13.0,,0.0,0.0,0.0,5.0
Q4 2023,Abia,26.0,159.0,14.0,31.0,13.0,1.0,0.0,0.0,17.0
Q4 2023,Adamawa,42.0,153.0,,57.0,34.0,0.0,0.0,,23.0
Q4 2023,Akwa Ibom,,24.0,15.0,15.0,8.0,0.0,1.0,0.0,6.0
Q4 2023,Anambra,32.0,71.0,9.0,36.0,11.0,0.0,0.0,0.0,25.0
Q4 2023,Bauchi,83.0,361.0,46.0,136.0,55.0,0.0,0.0,2.0,79.0
Q4 2023,Bayelsa,3.0,14.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0
Q4 2023,Benue,42.0,114.0,23.0,42.0,27.0,0.0,0.0,0.0,15.0
Q4 2023,Borno,,210.0,5.0,32.0,4.0,0.0,0.0,0.0,28.0
Q4 2023,Cross River,26.0,42.0,16.0,28.0,15.0,0.0,0.0,0.0,13.0
Q4 2023,Delta,38.0,123.0,29.0,,20.0,0.0,0.0,1.0,20.0
Q4 2023,Ebonyi,25.0,72.0,11.0,28.0,15.0,0.0,0.0,0.0,13.0
Q4 2023,Edo,,102.0,16.0,67.0,38.0,0.0,0.0,0.0,29.0
Q4 2023,Ekiti,24.0,,2.0,42.0,30.0,1.0,0.0,0.0,11.0
Q4 2023,Enugu,42.0,193.0,16.0,52.0,31.0,0.0,0.0,0.0,21.0
Q4 2023,FCT,296.0,548.0,69.0,382.0,258.0,0.0,0.0,1.0,123.0
Q4 2023,Gombe,118.0,464.0,29.0,100.0,57.0,,0.0,0.0,43.0
Q4 2023,,29.0,72.0,24.0,33.0,17.0,3.0,1.0,0.0,12.0
Q4 2023,Jigawa,114.0,460.0,36.0,,160.0,0.0,0.0,3.0,48.0
Q4 2023,Kaduna,209.0,889.0,150.0,218.0,118.0,1.0,0.0,9.0,90.0
Q4 2023,Kano,59.0,265.0,62.0,77.0,54.0,0.0,0.0,0.0,23.0
Q4 2023,Katsina,40.0,207.0,45.0,49.0,30.0,0.0,0.0,0.0,19.0
Q4 2023,Kebbi,50.0,219.0,40.0,52.0,46.0,0.0,0.0,0.0,6.0
Q4 2023,Kogi,107.0,355.0,65.0,128.0,67.0,0.0,0.0,0.0,61.0
Q4 2023,Kwara,75.0,316.0,,110.0,47.0,0.0,0.0,2.0,61.0
Q4 2023,Lagos,101.0,127.0,17.0,,65.0,0.0,0.0,1.0,36.0
Q4 2023,Nasarawa,212.0,555.0,32.0,268.0,148.0,2.0,2.0,0.0,116.0
Q4 2023,Niger,99.0,649.0,97.0,134.0,108.0,0.0,0.0,2.0,24.0
Q4 2023,Ogun,202.0,521.0,102.0,380.0,265.0,0.0,0.0,0.0,115.0
Q4 2023,Ondo,100.0,264.0,54.0,135.0,81.0,0.0,1.0,3.0,
Q4 2023,Osun,96.0,287.0,47.0,146.0,84.0,0.0,4.0,2.0,56.0
Q4 2023,Oyo,127.0,372.0,78.0,194.0,122.0,0.0,0.0,3.0,69.0
Q4 2023,Plateau,74.0,,28.0,78.0,39.0,0.0,0.0,2.0,
Q4 2023,Rivers,16.0,28.0,,17.0,10.0,0.0,0.0,0.0,7.0
Q4 2023,Sokoto,25.0,110.0,13.0,26.0,12.0,0.0,0.0,0.0,14.0
Q4 2023,Taraba,43.0,113.0,13.0,41.0,13.0,,0.0,0.0,28.0
Q4 2023,Yobe,50.0,340.0,31.0,72.0,26.0,0.0,0.0,0.0,46.0
Q4 2023,Zamfara,15.0,36.0,18.0,21.0,17.0,0.0,0.0,0.0,4.0
Q1 2024,Abia,19.0,45.0,5.0,17.0,6.0,0.0,0.0,0.0,11.0
Q1 2024,Adamawa,29.0,163.0,27.0,42.0,29.0,0.0,0.0,0.0,13.0
Q1 2024,Akwa Ibom,10.0,23.0,5.0,13.0,,0.0,0.0,0.0,8.0
Q1 2024,Anambra,31.0,73.0,,36.0,17.0,0.0,0.0,2.0,17.0
Q1 2024,Bauchi,99.0,442.0,45.0,124.0,67.0,0.0,0.0,1.0,56.0
Q1 2024,Bayelsa,13.0,26.0,5.0,21.0,13.0,0.0,0.0,0.0,8.0
Q1 2024,Benue,83.0,,49.0,101.0,62.0,2.0,0.0,0.0,37.0
Q1 2024,Borno,26.0,173.0,3.0,42.0,19.0,0.0,0.0,0.0,23.0
Q1 2024,Cross River,32.0,112.0,15.0,38.0,25.0,0.0,0.0,0.0,13.0
Q1 2024,Delta,31.0,76.0,18.0,44.0,26.0,0.0,0.0,0.0,18.0
Q1 2024,Ebonyi,43.0,60.0,19.0,35.0,22.0,0.0,0.0,0.0,13.0
Q1 2024,Edo,61.0,159.0,39.0,73.0,46.0,0.0,0.0,2.0,25.0
Q1 2024,Ekiti,24.0,55.0,9.0,33.0,27.0,2.0,0.0,0.0,4.0
Q1 2024,Enugu,44.0,164.0,24.0,50.0,39.0,0.0,0.0,0.0,11.0
Q1 2024,FCT,273.0,504.0,62.0,368.0,280.0,0.0,,2.0,86.0
Q1 2024,Gombe,88.0,349.0,44.0,88.0,46.0,0.0,0.0,0.0,42.0
Q1 2024,Imo,34.0,134.0,36.0,28.0,25.0,0.0,0.0,0.0,3.0
Q1 2024,Jigawa,95.0,308.0,41.0,155.0,104.0,0.0,0.0,1.0,50.0
Q1 2024,Kaduna,180.0,828.0,171.0,181.0,96.0,1.0,0.0,6.0,
Q1 2024,Kano,54.0,236.0,30.0,66.0,44.0,0.0,0.0,0.0,22.0
Q1 2024,Katsina,35.0,133.0,38.0,50.0,33.0,0.0,0.0,0.0,17.0
Q1 2024,,33.0,250.0,41.0,34.0,29.0,0.0,0.0,0.0,5.0
Q1 2024,Kogi,121.0,500.0,83.0,193.0,126.0,1.0,0.0,1.0,65.0
Q1 2024,Kwara,74.0,300.0,70.0,109.0,63.0,0.0,0.0,0.0,46.0
Q1 2024,Lagos,113.0,165.0,18.0,111.0,71.0,1.0,0.0,0.0,39.0
Q1 2024,Nasarawa,169.0,438.0,41.0,242.0,167.0,2.0,1.0,0.0,72.0
Q1 2024,Niger,127.0,433.0,119.0,182.0,140.0,0.0,2.0,,37.0
Q1 2024,Ogun,200.0,542.0,98.0,365.0,261.0,0.0,0.0,0.0,104.0
Q1 2024,Ondo,84.0,245.0,35.0,146.0,80.0,0.0,0.0,1.0,65.0
Q1 2024,Osun,100.0,376.0,96.0,123.0,71.0,0.0,0.0,1.0,51.0
Q1 2024,Oyo,131.0,298.0,68.0,122.0,84.0,0.0,0.0,,36.0
Q1 2024,Plateau,77.0,185.0,15.0,98.0,48.0,1.0,0.0,0.0,49.0
Q1 2024,Rivers,15.0,32.0,4.0,21.0,17.0,0.0,0.0,0.0,4.0
Q1 2024,Sokoto,24.0,122.0,,52.0,41.0,0.0,0.0,0.0,11.0
Q1 2024,Taraba,,98.0,17.0,38.0,17.0,0.0,0.0,0.0,21.0
Q1 2024,Yobe,39.0,234.0,13.0,55.0,38.0,0.0,0.0,0.0,17.0
Q1 2024,Zamfara,13.0,61.0,14.0,16.0,14.0,0.0,0.0,0.0,2.0
Q4 2022,Zamfara,30.0,103.0,23.0,35.0,13.0,0.0,0.0,0.0,22.0
